Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
DSM27147_S345.asm1	99.99	1.22	Neural Network (Specific Model)	11	0.838	146720	310.266307277628	4117073	0.29	3710	None
M10_S153.asm1	99.97	0.78	Neural Network (Specific Model)	11	0.835	232440	305.6484089723526	4205732	0.28	3834	None
M11_S154.asm1	99.96	0.43	Neural Network (Specific Model)	11	0.836	135835	303.5237722048067	4165247	0.28	3828	None
M13_S155.asm1	99.99	0.36	Neural Network (Specific Model)	11	0.837	240926	308.34176877996805	4143726	0.28	3754	None
M14_S347.asm1	99.99	1.11	Neural Network (Specific Model)	11	0.839	210570	302.3728813559322	4204866	0.28	3894	None
M1_S149.asm1	99.99	1.23	Neural Network (Specific Model)	11	0.839	152024	301.0557055214724	4383369	0.29	4075	None
M2_S150.asm1	99.99	0.43	Neural Network (Specific Model)	11	0.838	272976	311.87475701194114	4016237	0.28	3601	None
M4_S151.asm1	99.94	0.23	Neural Network (Specific Model)	11	0.839	241138	308.00672223716055	4091777	0.28	3719	None
M6_S346.asm1	99.97	0.22	Neural Network (Specific Model)	11	0.837	299711	313.84576976421636	4051806	0.28	3605	None
M8_S152.asm1	99.99	0.6	Neural Network (Specific Model)	11	0.836	192293	305.71002355404346	4186829	0.28	3821	None
W289_S348.asm1	99.94	0.18	Neural Network (Specific Model)	11	0.837	252599	310.9432350509782	4040491	0.28	3629	None
W290_S156.asm1	99.97	0.37	Neural Network (Specific Model)	11	0.837	242945	315.08815350389324	4056515	0.29	3596	None
W291_S157.asm1	99.97	0.38	Neural Network (Specific Model)	11	0.838	242968	315.0850236176716	4058197	0.29	3599	None
W292_S349.asm1	99.96	0.26	Neural Network (Specific Model)	11	0.838	268719	304.4725274725275	4161721	0.28	3822	None
W293_S158.asm1	99.96	0.22	Neural Network (Specific Model)	11	0.837	299711	314.21680672268906	4016453	0.28	3570	None
W294_S159.asm1	99.95	0.44	Neural Network (Specific Model)	11	0.839	202570	309.3642760487145	4085046	0.28	3695	None
W295_S160.asm1	99.98	0.92	Neural Network (Specific Model)	11	0.836	263043	302.80314136125656	4146803	0.28	3820	None
W296_S350.asm1	99.94	0.46	Neural Network (Specific Model)	11	0.837	204249	309.82056176711205	4067467	0.28	3667	None
W298_S161.asm1	99.99	0.4	Neural Network (Specific Model)	11	0.839	257118	308.68785348774577	4095951	0.28	3713	None
