medium	description	compound	name	flux
DM38	DM38 from Venturelli lab	cl	cl	4.3
DM38	DM38 from Venturelli lab	ca2	ca2	1.3
DM38	DM38 from Venturelli lab	cu2	cu2	0.0100
DM38	DM38 from Venturelli lab	so4	so4	10.0000
DM38	DM38 from Venturelli lab	pydx	pydx	9.8E-03
DM38	DM38 from Venturelli lab	thymd	thymd	0.021
DM38	DM38 from Venturelli lab	xan	xan	0.025
DM38	DM38 from Venturelli lab	fol	fol	2.4E-03
DM38	DM38 from Venturelli lab	orot	orot	0.064
DM38	DM38 from Venturelli lab	k	k	4.5E-03
DM38	DM38 from Venturelli lab	cobalt2	cobalt2	5.5E-02
DM38	DM38 from Venturelli lab	no3	no3	0.110
DM38	DM38 from Venturelli lab	fe3	fe3	0.066
DM38	DM38 from Venturelli lab	fe2	fe2	0.066
DM38	DM38 from Venturelli lab	mg2	mg2	2.7
DM38	DM38 from Venturelli lab	mn2	mn2	0.33
DM38	DM38 from Venturelli lab	mobd	mobd	4.9E-03
DM38	DM38 from Venturelli lab	sel	sel	5.8E-04
DM38	DM38 from Venturelli lab	na1	na1	9.0
DM38	DM38 from Venturelli lab	ni2	ni2	0.015
DM38	DM38 from Venturelli lab	zn2	zn2	0.062
DM38	DM38 from Venturelli lab	pnto__R	pnto_R	4.2E-04
DM38	DM38 from Venturelli lab	cbl1	cbl1	1.5E-06
DM38	DM38 from Venturelli lab	pydxn	pydxn	9.7E-04
DM38	DM38 from Venturelli lab	ribflv	ribflv	5.3E-04
DM38	DM38 from Venturelli lab	thm	thm	5.9E-04
DM38	DM38 from Venturelli lab	anth	anth	0.073
DM38	DM38 from Venturelli lab	pydam	pydam	0.021
DM38	DM38 from Venturelli lab	nh4	nh4	9.3
DM38	DM38 from Venturelli lab	pi	pi	6.6
DM38	DM38 from Venturelli lab	nad	nad 	0.034
DM38	DM38 from Venturelli lab	csn	csn	5.9E-05
DM38	DM38 from Venturelli lab	gua	gua	6.0E-05
DM38	DM38 from Venturelli lab	ade	ade	6.0E-05
DM38	DM38 from Venturelli lab	ura	ura	5.9E-05
DM38	DM38 from Venturelli lab	inot	inost	6.3
DM38	DM38 from Venturelli lab	btn	btn	0.041
DM38	DM38 from Venturelli lab	ala__L	ala_L	5.3
DM38	DM38 from Venturelli lab	arg__L	arg_L	22
DM38	DM38 from Venturelli lab	asn__L	asn_L	2.6
DM38	DM38 from Venturelli lab	asp__L	asp_L	0.40
DM38	DM38 from Venturelli lab	cys__L	cys_L	8.4
DM38	DM38 from Venturelli lab	glu__L	glu_L	0.66
DM38	DM38 from Venturelli lab	gln__L	gln_L	2.7
DM38	DM38 from Venturelli lab	gly__L	gly_L	4.7
DM38	DM38 from Venturelli lab	his__L	his_L	1.0
DM38	DM38 from Venturelli lab	ile__L	ile_L	1.6
DM38	DM38 from Venturelli lab	leu__L	leu_L	3.6
DM38	DM38 from Venturelli lab	lys__L	lys_L	2.4
DM38	DM38 from Venturelli lab	met__L	met_L	0.84
DM38	DM38 from Venturelli lab	phe__L	phe_L	4.5
DM38	DM38 from Venturelli lab	pro__L	pro_L	5.9
DM38	DM38 from Venturelli lab	ser__L	ser_L	6.4
DM38	DM38 from Venturelli lab	thr__L	thr_L	1.9
DM38	DM38 from Venturelli lab	trp__L	trp_L	0.73
DM38	DM38 from Venturelli lab	val__L	val_L	2.8
DM38	DM38 from Venturelli lab	tyr__L	tyr_L	3.2
DM38	DM38 from Venturelli lab	mops	mops	72
DM38	DM38 from Venturelli lab	hco3	hco3	48
DM38	DM38 from Venturelli lab	arab__L	arab_L	21
DM38	DM38 from Venturelli lab	glc__D	glc_D	25
DM38	DM38 from Venturelli lab	lac__L	lac_L	28
DM38	DM38 from Venturelli lab	malt	malt	4
