compound	flux	medium
4abz	0.073	DM38
ade	6e-05	DM38
ala__L	5.3	DM38
arg__L	22.0	DM38
asn__L	2.6	DM38
asp__L	0.4	DM38
b12	1.5e-06	DM38
btn	0.041	DM38
ca2	1.3004200000000001	DM38
cl	15.33156	DM38
cobalt2	0.055	DM38
csn	5.9e-05	DM38
cu	0.021	DM38
cys__L	8.4	DM38
fe2	0.066	DM38
fe3	0.066	DM38
fol	0.0024	DM38
gln__L	2.7	DM38
glu__L	0.66	DM38
gly__L	4.7	DM38
gua	6e-05	DM38
h2	1.0	DM38
h2o	1000.0	DM38
hco3	48.0	DM38
his__L	1.0	DM38
ile__L	1.6	DM38
k	6.604349999999999	DM38
leu__L	3.6	DM38
lys__L	2.4	DM38
met__L	0.84	DM38
mg2	4.4	DM38
mn2	0.33	DM38
mobd	0.0049	DM38
mops	72.0	DM38
na1	56.71776	DM38
ncam	0.034	DM38
nh4	9.3	DM38
ni2	0.015	DM38
no3	0.11	DM38
oh1	0.00045	DM38
orot	0.064	DM38
phe__L	4.5	DM38
pheme	0.015	DM38
pi	6.6	DM38
pnto__R	0.00042	DM38
pro__L	5.9	DM38
pydam	0.021	DM38
pydx	0.0098	DM38
pydxn	0.00097	DM38
rbflv	0.00053	DM38
sel	0.00058	DM38
ser__L	6.4	DM38
so4	10.1868	DM38
thf	2.8e-06	DM38
thm	0.00059	DM38
thr__L	1.9	DM38
thym	0.021	DM38
trp__L	0.73	DM38
tungs	0.0034	DM38
tyr__L	3.2	DM38
ura	5.9e-05	DM38
val__L	2.8	DM38
xan	0.025	DM38
zn2	0.062	DM38
